mean_fit_time,mean_score_time,mean_test_score,param_C,param_class_weight,param_coef0,param_degree,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
0.0007993698120117188,0.00019979476928710938,0.0,0.1,balanced,1,2,0.01,poly,"{'gamma': 0.01, 'coef0': 1, 'C': 0.1, 'kernel': 'poly', 'degree': 2, 'class_weight': 'balanced'}",786,0.0,0.0,0.0,0.0,0.0,0.00039968507667051807,0.00039958953857421875,0.0
0.0007996082305908204,0.00019989013671875,0.0,0.1,balanced,1,2,0.1,poly,"{'gamma': 0.1, 'coef0': 1, 'C': 0.1, 'kernel': 'poly', 'degree': 2, 'class_weight': 'balanced'}",786,0.0,0.0,0.0,0.0,0.0,0.000399804154394406,0.0003997802734375,0.0
0.0007994174957275391,0.00019979476928710938,0.47217515791980463,0.1,balanced,1,2,1,poly,"{'gamma': 1, 'coef0': 1, 'C': 0.1, 'kernel': 'poly', 'degree': 2, 'class_weight': 'balanced'}",141,0.5002975305232069,0.44999999999999996,0.7499999999999999,0.13762047064079508,0.5229577884350213,0.0003997087585296766,0.00039958953857421875,0.19645608297474484
0.0015990257263183594,0.0,0.31552936873800086,0.1,balanced,1,2,10,poly,"{'gamma': 10, 'coef0': 1, 'C': 0.1, 'kernel': 'poly', 'degree': 2, 'class_weight': 'balanced'}",375,0.16927779169233617,0.5477225575051661,0.361111111111111,0.09128709291752773,0.4082482904638631,0.0007992150155228517,0.0,0.16508318669514999
0.0007995128631591797,0.00019989013671875,0.0,0.1,balanced,1,3,0.01,poly,"{'gamma': 0.01, 'coef0': 1, 'C': 0.1, 'kernel': 'poly', 'degree': 3, 'class_weight': 'balanced'}",786,0.0,0.0,0.0,0.0,0.0,0.0003997565275612929,0.0003997802734375,0.0
0.0007994174957275391,0.0001998424530029297,0.0,0.1,balanced,1,3,0.1,poly,"{'gamma': 0.1, 'coef0': 1, 'C': 0.1, 'kernel': 'poly', 'degree': 3, 'class_weight': 'balanced'}",786,0.0,0.0,0.0,0.0,0.0,0.0003997087585296766,0.0003996849060058594,0.0
0.0009992122650146484,0.00019998550415039061,0.3257275463826274,0.1,balanced,1,3,1,poly,"{'gamma': 1, 'coef0': 1, 'C': 0.1, 'kernel': 'poly', 'degree': 3, 'class_weight': 'balanced'}",359,0.3762560663311361,0.4666666666666668,0.361111111111111,0.11322770341445952,0.3113761843897638,2.611744678045111e-07,0.0003999710083007812,0.11749987954042061
0.009993696212768554,0.0,0.06848421234712483,0.1,balanced,1,3,10,poly,"{'gamma': 10, 'coef0': 1, 'C': 0.1, 'kernel': 'poly', 'degree': 3, 'class_weight': 'balanced'}",725,-0.05940885257860061,-0.10000000000000007,0.16666666666666657,-0.08492077756084472,0.420084025208403,0.0010946693489635715,0.0,0.20076796534073152
0.0009993553161621095,0.0,0.0,0.1,balanced,10,1,0.01,poly,"{'gamma': 0.01, 'coef0': 10, 'C': 0.1, 'kernel': 'poly', 'degree': 1, 'class_weight': 'balanced'}",786,0.0,0.0,0.0,0.0,0.0,4.156969970265077e-07,0.0,0.0
0.000599527359008789,0.00019989013671875,0.0,0.1,balanced,10,1,0.1,poly,"{'gamma': 0.1, 'coef0': 10, 'C': 0.1, 'kernel': 'poly', 'degree': 1, 'class_weight': 'balanced'}",786,0.0,0.0,0.0,0.0,0.0,0.0004895121084768706,0.0003997802734375,0.0
0.0009994983673095703,0.0,0.10694183867925929,0.1,balanced,10,1,1,poly,"{'gamma': 1, 'coef0': 10, 'C': 0.1, 'kernel': 'poly', 'degree': 1, 'class_weight': 'balanced'}",665,0.2886751345948129,0.19920476822239896,0.04682929057908452,0.0,0.0,4.6231077741778654e-07,0.0,0.11664139159964597
0.0007995128631591797,0.00019993782043457032,0.45798369787948384,0.1,balanced,10,1,10,poly,"{'gamma': 10, 'coef0': 10, 'C': 0.1, 'kernel': 'poly', 'degree': 1, 'class_weight': 'balanced'}",163,0.35404409643746665,0.573885641347411,0.6330541649476573,0.2477168471534311,0.48121773951145325,0.00039975644224422467,0.0003998756408691407,0.14116539157445399
0.0007995128631591797,0.00019989013671875,0.0,0.1,balanced,10,2,0.01,poly,"{'gamma': 0.01, 'coef0': 10, 'C': 0.1, 'kernel': 'poly', 'degree': 2, 'class_weight': 'balanced'}",786,0.0,0.0,0.0,0.0,0.0,0.00039975647068324946,0.0003997802734375,0.0
0.0009995460510253905,0.0,0.45970159175721526,0.1,balanced,10,2,0.1,poly,"{'gamma': 0.1, 'coef0': 10, 'C': 0.1, 'kernel': 'poly', 'degree': 2, 'class_weight': 'balanced'}",160,0.5590169943749473,0.6236095644623235,0.6330541649476573,0.12171612389003694,0.361111111111111,3.568322550558034e-07,0.0,0.19531244031479078
0.0005995750427246094,0.0003998279571533203,0.4895114112871064,0.1,balanced,10,2,1,poly,"{'gamma': 1, 'coef0': 10, 'C': 0.1, 'kernel': 'poly', 'degree': 2, 'class_weight': 'balanced'}",70,0.42761798705987897,0.4666666666666668,0.7499999999999999,0.2477168471534311,0.5555555555555555,0.0004895509801351308,0.0004896872921989839,0.16433710682966604
